"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
58,"maize",0.19,20,7067,-24.66,500,90,0.342,71,6,FALSE,6922800,1923,80.125,465.384615384615,0.0191044430745383,0.0180014798943683,494,0.253541970343216,0.0869863171126503,0.30135004014424,0.00542474668882362
58,"maize",0.19,35,5863,-21.74,500,90,0.342,44,7,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0149345799661358,495,0.339422271957631,0.148814426328861,0.302614169941231,0.00451941551987311
58,"maize",0.19,5,14051.64,-22.1,500,90,0.342,1694,8,FALSE,13908600,3864,161,465.384615384615,0.0191044430745383,0.0357931675311874,496,0.0211293787079029,0.00445531199064668,0.199581452419972,0.00714365236258577
58,"maize",0.19,20,37374.56,-24.53,500,90,0.342,387,9,FALSE,15813960,4393,183.041666666667,465.384615384615,0.0191044430745383,0.0952026871941224,497,0.246001775695407,0.0869863171126503,0.30135004014424,0.0286893336077883
58,"maize",0.19,35,34151.69,-23.46,500,90,0.342,159,10,FALSE,17024100,4729,197.041666666667,465.384615384615,0.0191044430745383,0.086993202333904,498,0.547127058703799,0.148814426328861,0.302614169941231,0.0263253757148039
59,"maize",0.19,5,528.5,-20.59,500,90,0.342,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.0013462264219858,499,0.0186975891942472,0.00445531199064668,0.199581452419972,0.000268681824586068
59,"maize",0.19,5,1083.28,-20.32,500,90,0.342,120,2,FALSE,1764000,490,20.4166666666667,465.384615384615,0.0191044430745383,0.00275939481250479,500,0.0229949567708732,0.00445531199064668,0.199581452419972,0.000550724024479841
59,"maize",0.19,5,1792.5,-22.27,500,90,0.342,240,3,FALSE,2628000,730,30.4166666666667,465.384615384615,0.0191044430745383,0.00456596189481466,501,0.0190248412283944,0.00445531199064668,0.199581452419972,0.000911281306661357
59,"maize",0.19,20,10159,-23.22,500,90,0.342,72,4,FALSE,5565600,1546,64.4166666666667,465.384615384615,0.0191044430745383,0.0258776049592313,502,0.359411179989324,0.0869863171126503,0.30135004014424,0.00779821729330115
59,"maize",0.19,20,24393.5,-24.73,500,90,0.342,305,5,FALSE,6663600,1851,77.125,465.384615384615,0.0191044430745383,0.0621365642851668,503,0.203726440279235,0.0869863171126503,0.30135004014424,0.0187248561417602
59,"maize",0.19,20,7632.5,-25.41,500,90,0.342,72,6,FALSE,6922800,1923,80.125,465.384615384615,0.0191044430745383,0.0194419549021885,504,0.270027151419285,0.0869863171126503,0.30135004014424,0.00585883389025701
59,"maize",0.19,35,5769,-20.82,500,90,0.342,44,7,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0146951376129349,505,0.333980400293975,0.148814426328861,0.302614169941231,0.00444695687091045
59,"maize",0.19,5,17720.53,-20.49,500,90,0.342,1693,8,FALSE,13906800,3863,160.958333333333,465.384615384615,0.0191044430745383,0.0451387808847532,506,0.0266620087919393,0.00445531199064668,0.199581452419972,0.0090088634494459
59,"maize",0.19,20,34904.24,-23.54,500,90,0.342,387,9,FALSE,15814560,4393,183.041666666667,465.384615384615,0.0191044430745383,0.0889101421520032,507,0.229741969385021,0.0869863171126503,0.30135004014424,0.0267930749067362
59,"maize",0.19,35,36591.07,-23.76,500,90,0.342,161,10,FALSE,17031420,4731,197.125,465.384615384615,0.0191044430745383,0.093206935180193,508,0.578925063231012,0.148814426328861,0.302614169941231,0.0282057393223202
60,"maize",0.19,5,1440.85,-23.89,500,90,0.342,120,1,FALSE,432000,120,5,465.384615384615,0.0191044430745383,0.00367021824052647,509,0.0305851520043873,0.00445531199064668,0.199581452419972,0.000732507487142547
