sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
23,bare_fallow,15,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,5953,-28.9,500,90
23,bare_fallow,15,35,22/07/11 18:00,23/07/11 20:29,23/07/11 20:29,24/07/11 16:14,2324,-27.67,500,90
23,bare_fallow,15,5,24/07/11 16:14,02/08/11 00:00,02/08/11 00:00,14/10/11 14:28,5028.33,-26.49,500,90
23,bare_fallow,15,35,14/10/11 14:28,17/10/11 11:00,17/10/11 11:00,18/10/11 18:05,3789.6,-26.11,500,90
23,bare_fallow,15,35,18/10/11 18:05,18/10/11 00:00,18/10/11 00:00,25/10/11 13:35,18888.18,-26.71,500,90
23,bare_fallow,15,20,25/10/11 13:35,10/11/11 00:00,10/11/11 00:00,17/11/11 15:55,4713.5,-27.02,500,90
24,bare_fallow,15,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,118,-25.17,500,90
24,bare_fallow,15,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,248.95,-26.07,500,90
24,bare_fallow,15,5,24/05/11 00:00,27/05/11 00:00,27/05/11 00:00,14/06/11 00:00,1011.5,-25.6,500,90
24,bare_fallow,15,20,14/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,13666,-28.14,500,90
24,bare_fallow,15,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,6082.5,-27.63,500,90
24,bare_fallow,15,35,22/07/11 18:00,23/07/11 20:29,23/07/11 20:29,24/07/11 16:20,2060,-26.69,500,90
24,bare_fallow,15,5,24/07/11 16:20,02/08/11 00:00,02/08/11 00:00,14/10/11 18:05,5209.09,-26.17,500,90
24,bare_fallow,15,35,14/10/11 18:05,17/10/11 11:00,17/10/11 11:00,18/10/11 16:44,4490.23,-26.62,500,90
24,bare_fallow,15,35,18/10/11 16:44,18/10/11 00:00,18/10/11 00:00,25/10/11 15:04,16604.93,,500,90
24,bare_fallow,15,20,25/10/11 15:04,10/11/11 00:00,10/11/11 00:00,17/11/11 15:41,3448.8,-25.71,500,90
25,bare_fallow,17,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,468.32,-28.89,500,90
25,bare_fallow,17,5,24/05/11 00:00,24/05/11 00:00,24/05/11 00:00,23/06/11 00:00,4120,-29.91,500,90
25,bare_fallow,17,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,8990,-28.58,500,90
25,bare_fallow,17,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 17:00,4381,-28.21,500,90
25,bare_fallow,17,35,22/07/11 17:00,23/07/11 20:25,23/07/11 20:25,24/07/11 15:46,1728.5,-27.78,500,90
25,bare_fallow,17,5,24/07/11 15:46,02/08/11 00:00,02/08/11 00:00,14/10/11 13:13,4153.48,-27.17,500,90
25,bare_fallow,17,35,14/10/11 13:13,17/10/11 11:00,17/10/11 11:00,18/10/11 18:39,2951.54,-26.74,500,90
25,bare_fallow,17,35,18/10/11 18:39,18/10/11 00:00,18/10/11 00:00,25/10/11 13:41,14462.98,-27.02,500,90
25,bare_fallow,17,20,25/10/11 13:41,10/11/11 00:00,10/11/11 00:00,17/11/11 15:13,3663.31,-26.17,500,90
26,bare_fallow,17,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,227,-23.02,500,90
26,bare_fallow,17,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,456.6,-25.69,500,90
